Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
71.68555556,27.02666667,22529,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.96972222,27.0225,22530,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
71.49333333,27.20805556,22531,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
73.29611111,28.70861111,22532,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
73.28888889,28.70277778,22533,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
73.59861111,28.64666667,22534,2019-07-28,1,-1,-1,-1,-1,-1,-1,-1,-1
73.57555556,28.97305556,22535,2019-07-29,1,-1,-1,-1,-1,-1,-1,-1,-1
73.34027778,28.77583333,22536,2019-07-29,1,-1,-1,-1,-1,-1,-1,-1,-1
73.33361111,28.76666667,22537,2019-07-29,1,-1,-1,-1,-1,-1,-1,-1,-1
44.48333333,16.31666667,22538,2019-07-18,1,-1,-1,-1,-1,-1,-1,-1,-1
44.58333333,15.08333333,22539,2019-07-19,1,-1,-1,-1,-1,-1,-1,-1,-1
